FileName,inst#,actual,predicted,error,prediction
src\main\java\org\apache\commons\lang3\text\translate\package-info.java,1,2:valid,2:valid,,0.019
src\main\java\org\apache\commons\lang3\CharSequenceUtils.java,2,2:valid,2:valid,,0.228
src\test\java\org\apache\commons\lang3\CharSetUtilsTest.java,3,2:valid,2:valid,,0.012
src\test\java\org\apache\commons\lang3\builder\EqualsBuilderTest.java,4,2:valid,2:valid,,0.1
src\main\java\org\apache\commons\lang3\time\FastTimeZone.java,5,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\lang3\mutable\MutableDouble.java,6,2:valid,2:valid,,0.461
src\main\java\org\apache\commons\lang3\time\DatePrinter.java,7,2:valid,2:valid,,0.229
src\test\java\org\apache\commons\lang3\builder\JsonToStringStyleTest.java,8,2:valid,2:valid,,0.08
src\test\java\org\apache\commons\lang3\reflect\testbed\Ambig.java,9,2:valid,2:valid,,0.007
src\test\java\org\apache\commons\lang3\BitFieldTest.java,10,2:valid,2:valid,,0.019
src\test\java\org\apache\commons\lang3\test\SystemDefaultsSwitchTest.java,11,2:valid,2:valid,,0.018
src\test\java\org\apache\commons\lang3\time\FastDateParserSDFTest.java,12,2:valid,2:valid,,0.052
src\test\java\org\apache\commons\lang3\ClassPathUtilsTest.java,13,2:valid,2:valid,,0.018
src\main\java\org\apache\commons\lang3\builder\ReflectionToStringBuilder.java,14,1:bugged,1:bugged,,0.522
src\test\java\org\apache\commons\lang3\builder\HashCodeBuilderTest.java,15,2:valid,2:valid,,0.413
src\main\java\org\apache\commons\lang3\exception\ExceptionContext.java,16,2:valid,2:valid,,0.006
src\main\java\org\apache\commons\lang3\text\translate\JavaUnicodeEscaper.java,17,2:valid,2:valid,,0.046
src\test\java\org\apache\commons\lang3\time\FastTimeZoneTest.java,18,2:valid,2:valid,,0.005
src\main\java\org\apache\commons\lang3\text\translate\NumericEntityEscaper.java,19,2:valid,2:valid,,0.043
src\main\java\org\apache\commons\lang3\reflect\Typed.java,20,2:valid,2:valid,,0.036
src\main\java\org\apache\commons\lang3\text\StrMatcher.java,21,2:valid,2:valid,,0.171
src\main\java\org\apache\commons\lang3\concurrent\EventCountCircuitBreaker.java,22,2:valid,2:valid,,0.309
src\test\java\org\apache\commons\lang3\StringEscapeUtilsTest.java,23,2:valid,2:valid,,0.129
src\test\java\org\apache\commons\lang3\reflect\TypeUtilsTest.java,24,1:bugged,1:bugged,,0.553
src\test\java\org\apache\commons\lang3\text\translate\NumericEntityUnescaperTest.java,25,2:valid,2:valid,,0.009
src\test\java\org\apache\commons\lang3\concurrent\ThresholdCircuitBreakerTest.java,26,2:valid,2:valid,,0.01
src\test\java\org\apache\commons\lang3\reflect\testbed\GenericParent.java,27,2:valid,2:valid,,0.007
src\test\java\org\apache\commons\lang3\text\StrMatcherTest.java,28,2:valid,2:valid,,0.022
src\main\java\org\apache\commons\lang3\concurrent\ConstantInitializer.java,29,2:valid,2:valid,,0.129
src\main\java\org\apache\commons\lang3\tuple\Pair.java,30,2:valid,2:valid,,0.052
src\main\java\org\apache\commons\lang3\builder\DiffResult.java,31,2:valid,2:valid,,0.033
src\test\java\org\apache\commons\lang3\CharSetTest.java,32,2:valid,2:valid,,0.052
src\test\java\org\apache\commons\lang3\mutable\MutableObjectTest.java,33,2:valid,2:valid,,0.011
src\test\java\org\apache\commons\lang3\ArrayUtilsInsertTest.java,34,2:valid,2:valid,,0.015
src\test\java\org\apache\commons\lang3\time\DateFormatUtilsTest.java,35,2:valid,2:valid,,0.134
src\main\java\org\apache\commons\lang3\time\GmtTimeZone.java,36,2:valid,2:valid,,0.003
src\test\java\org\apache\commons\lang3\builder\MultilineRecursiveToStringStyleTest.java,37,2:valid,2:valid,,0.034
src\main\java\org\apache\commons\lang3\ArchUtils.java,38,1:bugged,2:valid,+,0.007
src\test\java\org\apache\commons\lang3\builder\NoClassNameToStringStyleTest.java,39,2:valid,2:valid,,0.017
src\main\java\org\apache\commons\lang3\builder\DiffBuilder.java,40,2:valid,1:bugged,+,0.797
src\test\java\org\apache\commons\lang3\ClassUtilsTest.java,41,2:valid,2:valid,,0.101
src\main\java\org\apache\commons\lang3\mutable\package-info.java,42,2:valid,2:valid,,0.078
src\test\java\org\apache\commons\lang3\time\DateUtilsTest.java,43,2:valid,2:valid,,0.294
src\test\java\org\apache\commons\lang3\text\translate\OctalUnescaperTest.java,44,2:valid,2:valid,,0.204
src\main\java\org\apache\commons\lang3\text\translate\EntityArrays.java,45,2:valid,2:valid,,0.325
src\test\java\org\apache\commons\lang3\builder\ToStringStyleConcurrencyTest.java,46,2:valid,2:valid,,0.033
src\main\java\org\apache\commons\lang3\ObjectUtils.java,47,2:valid,1:bugged,+,0.588
src\test\java\org\apache\commons\lang3\reflect\ConstructorUtilsTest.java,48,2:valid,2:valid,,0.049
src\test\java\org\apache\commons\lang3\exception\ExceptionUtilsTest.java,49,2:valid,2:valid,,0.111
src\test\java\org\apache\commons\lang3\reflect\testbed\Parent.java,50,2:valid,2:valid,,0.01
src\main\java\org\apache\commons\lang3\math\NumberUtils.java,51,2:valid,1:bugged,+,0.902
src\main\java\org\apache\commons\lang3\text\FormatFactory.java,52,2:valid,2:valid,,0.027
