FileName,inst#,actual,predicted,error,prediction
src\test\java\org\apache\commons\math3\stat\descriptive\SummaryStatisticsTest.java,1,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\geometry\euclidean\twod\package-info.java,2,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\analysis\function\HarmonicOscillator.java,3,2:valid,2:valid,,0.016
src\main\java\org\apache\commons\math3\analysis\function\Tan.java,4,2:valid,2:valid,,0.0
src\test\java\org\apache\commons\math3\linear\SchurTransformerTest.java,5,2:valid,2:valid,,0.003
src\test\java\org\apache\commons\math3\analysis\function\LogitTest.java,6,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\ml\neuralnet\FeatureInitializerFactory.java,7,1:bugged,2:valid,+,0.003
src\main\java\org\apache\commons\math3\optim\nonlinear\vector\jacobian\package-info.java,8,2:valid,2:valid,,0.001
src\test\java\org\apache\commons\math3\optim\univariate\BrentOptimizerTest.java,9,2:valid,2:valid,,0.005
src\test\java\org\apache\commons\math3\random\BitsStreamGeneratorTest.java,10,2:valid,2:valid,,0.002
src\main\java\org\apache\commons\math3\stat\inference\GTest.java,11,2:valid,2:valid,,0.003
src\test\java\org\apache\commons\math3\distribution\fitting\MultivariateNormalMixtureExpectationMaximizationTest.java,12,2:valid,2:valid,,0.016
src\main\java\org\apache\commons\math3\linear\package-info.java,13,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\ode\UnknownParameterException.java,14,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\math3\linear\SparseRealMatrix.java,15,2:valid,2:valid,,0.001
src\main\java\org\apache\commons\math3\stat\clustering\EuclideanDoublePoint.java,16,2:valid,2:valid,,0.004
src\main\java\org\apache\commons\math3\genetics\StoppingCondition.java,17,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\stat\inference\ChiSquareTest.java,18,2:valid,2:valid,,0.002
src\test\java\org\apache\commons\math3\linear\SymmLQTest.java,19,2:valid,2:valid,,0.002
src\test\java\org\apache\commons\math3\dfp\DfpMathTest.java,20,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\linear\MatrixUtils.java,21,1:bugged,2:valid,+,0.161
src\main\java\org\apache\commons\math3\stat\ranking\RankingAlgorithm.java,22,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\optim\InitialGuess.java,23,2:valid,2:valid,,0.001
src\test\java\org\apache\commons\math3\optim\univariate\MultiStartUnivariateOptimizerTest.java,24,2:valid,2:valid,,0.003
src\test\java\org\apache\commons\math3\stat\descriptive\summary\ProductTest.java,25,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\distribution\AbstractRealDistribution.java,26,1:bugged,2:valid,+,0.018
src\main\java\org\apache\commons\math3\fraction\package-info.java,27,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\ode\nonstiff\DormandPrince853StepInterpolator.java,28,2:valid,2:valid,,0.009
src\test\java\org\apache\commons\math3\ml\neuralnet\sofm\util\ExponentialDecayFunctionTest.java,29,1:bugged,2:valid,+,0.002
src\main\java\org\apache\commons\math3\stat\correlation\KendallsCorrelation.java,30,2:valid,2:valid,,0.0
src\main\java\org\apache\commons\math3\ml\neuralnet\sofm\LearningFactorFunctionFactory.java,31,1:bugged,2:valid,+,0.001
